league,season,team,player_name,nation,pos,age,born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Int,Tkl+Int,Clr,Blocks_Blocks,Challenges_Tkl%,Challenges_Lost,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_PrgDist,KP,Expected_xA,1/3,PPA,PrgP,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Outcomes_Blocks,Outcomes_Off,player_id
ENG-Premier League,25/26,Arsenal,Ethan Nwaneri,ENG,MF,19-050,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ethan_nwaneri_arsenal
ENG-Premier League,25/26,Liverpool,Trey Nyoni,ENG,MF,18-314,2007,5,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trey_nyoni_liverpool
ENG-Premier League,25/26,Arsenal,Christian Nørgaard,DEN,MF,32-061,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian_n_rgaard_arsenal
ENG-Premier League,25/26,Everton,Jake O'Brien,IRL,DF,24-360,2001,34,32,2882,32.0,1,1,2,1,0,0,4,1,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jake_o_brien_everton
ENG-Premier League,25/26,Sunderland,Luke O'Nien,ENG,DF,31-170,1994,10,4,411,4.6,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luke_o_nien_sunderland
ENG-Premier League,25/26,Brighton,Matt O'Riley,DEN,MF,25-170,2000,6,2,204,2.3,1,0,1,0,1,1,0,0,,,,,,,,0.44,0.00,0.44,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matt_o_riley_brighton
ENG-Premier League,25/26,Tottenham,Wilson Odobert,FRA,"MF,FW",21-163,2004,24,10,985,10.9,0,2,2,0,0,0,0,0,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilson_odobert_tottenham
ENG-Premier League,25/26,Leeds United,Noah Okafor,SUI,"FW,MF",25-351,2000,28,19,1561,17.3,8,1,9,8,0,0,3,0,,,,,,,,0.46,0.06,0.52,0.46,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noah_okafor_leeds_united
ENG-Premier League,25/26,Tottenham,Callum Olusesi,ENG,MF,19-113,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,callum_olusesi_tottenham
ENG-Premier League,25/26,Aston Villa,Amadou Onana,BEL,MF,24-267,2001,24,21,1740,19.3,2,0,2,2,0,0,3,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amadou_onana_aston_villa
ENG-Premier League,25/26,Brentford,Frank Onyeka,NGA,MF,28-129,1998,6,0,92,1.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.98,0.98,0.00,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frank_onyeka_brentford
ENG-Premier League,25/26,Brighton,Nehemiah Oriola,ENG,MF,18-333,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nehemiah_oriola_brighton
ENG-Premier League,25/26,Nott'ham Forest,Stefan Ortega,GER,GK,33-185,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stefan_ortega_nott_ham_forest
ENG-Premier League,25/26,Newcastle Utd,William Osula,DEN,FW,22-279,2003,21,5,600,6.7,5,0,5,5,0,0,0,0,,,,,,,,0.75,0.00,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william_osula_newcastle_utd
ENG-Premier League,25/26,Brentford,Dango Ouattara,BFA,MF,24-088,2002,30,23,2096,23.3,5,3,8,5,0,0,5,0,,,,,,,,0.21,0.13,0.34,0.21,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dango_ouattara_brentford
ENG-Premier League,25/26,Manchester City,Nico O’Reilly,ENG,"DF,MF",21-050,2005,33,28,2556,28.4,5,3,8,5,0,0,5,0,,,,,,,,0.18,0.11,0.28,0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nico_o_reilly_manchester_city
ENG-Premier League,25/26,West Ham,Pablo,BRA,"MF,FW",22-128,2004,11,9,726,8.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.12,0.12,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pablo_west_ham
ENG-Premier League,25/26,Tottenham,João Palhinha,POR,"MF,DF",30-305,1995,30,20,1951,21.7,4,2,6,4,0,0,6,0,,,,,,,,0.18,0.09,0.28,0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joao_palhinha_tottenham
ENG-Premier League,25/26,Chelsea,Cole Palmer,ENG,MF,24-004,2002,24,22,1777,19.7,9,1,10,4,5,6,4,0,,,,,,,,0.46,0.05,0.51,0.20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cole_palmer_chelsea
ENG-Premier League,25/26,West Ham,Lucas Paquetá,BRA,"MF,FW",28-256,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,,,,,,,,0.24,0.06,0.30,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lucas_paqueta_west_ham
ENG-Premier League,25/26,Everton,Nathan Patterson,SCO,DF,24-206,2001,7,3,241,2.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nathan_patterson_everton
ENG-Premier League,25/26,Brentford,Myles Peart-Harris,ENG,MF,23-234,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,myles_peart_harris_brentford
ENG-Premier League,25/26,Leeds United,Lucas Perri,BRA,GK,28-151,1997,16,16,1440,16.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lucas_perri_leeds_united
ENG-Premier League,25/26,Bournemouth,Đorđe Petrović,SRB,GK,26-214,1999,36,36,3240,36.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or_e_petrovic_bournemouth
ENG-Premier League,25/26,Everton,Jordan Pickford,ENG,GK,32-064,1994,35,35,3150,35.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jordan_pickford_everton
ENG-Premier League,25/26,Brentford,Ethan Pinnock,JAM,DF,32-346,1993,4,4,318,3.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ethan_pinnock_brentford
ENG-Premier League,25/26,Crystal Palace,Yeremi Pino,ESP,"MF,FW",23-202,2002,31,24,1931,21.5,2,1,3,2,0,0,4,0,,,,,,,,0.09,0.05,0.14,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeremi_pino_crystal_palace
ENG-Premier League,25/26,Leeds United,Joël Piroe,SUR,FW,26-281,1999,14,2,228,2.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joel_piroe_leeds_united
ENG-Premier League,25/26,Newcastle Utd,Nick Pope,ENG,GK,34-021,1992,24,24,2146,23.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nick_pope_newcastle_utd
ENG-Premier League,25/26,Tottenham,Pedro Porro,ESP,DF,26-239,1999,31,29,2526,28.1,1,2,3,1,0,0,8,0,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedro_porro_tottenham
ENG-Premier League,25/26,West Ham,Freddie Potts,ENG,MF,22-240,2003,22,12,1171,13.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freddie_potts_west_ham
ENG-Premier League,25/26,Newcastle Utd,Aaron Ramsdale,ENG,GK,27-361,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaron_ramsdale_newcastle_utd
ENG-Premier League,25/26,Newcastle Utd,Jacob Ramsey,ENG,MF,24-347,2001,25,13,1240,13.8,2,1,3,2,0,0,5,1,,,,,,,,0.15,0.07,0.22,0.15,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacob_ramsey_newcastle_utd
ENG-Premier League,25/26,Arsenal,David Raya,ESP,GK,30-237,1995,35,35,3150,35.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david_raya_arsenal
ENG-Premier League,25/26,Bournemouth,Rayan,BRA,MF,19-280,2006,13,11,956,10.6,5,2,7,5,0,0,1,0,,,,,,,,0.47,0.19,0.66,0.47,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rayan_bournemouth
ENG-Premier League,25/26,Fulham,Harrison Reed,ENG,MF,31-103,1995,7,1,94,1.0,1,0,1,1,0,0,0,0,,,,,,,,0.96,0.00,0.96,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harrison_reed_fulham
ENG-Premier League,25/26,Manchester City,Tijjani Reijnders,NED,MF,27-285,1998,27,18,1555,17.3,5,2,7,5,0,0,2,0,,,,,,,,0.29,0.12,0.41,0.29,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tijjani_reijnders_manchester_city
ENG-Premier League,25/26,Crystal Palace,Chadi Riad,MAR,DF,22-327,2003,7,4,389,4.3,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chadi_riad_crystal_palace
ENG-Premier League,25/26,Arsenal,Declan Rice,ENG,MF,27-116,1999,34,33,2914,32.4,4,5,9,4,0,0,3,0,,,,,,,,0.12,0.15,0.28,0.12,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,declan_rice_arsenal
ENG-Premier League,25/26,Crystal Palace,Chris Richards,USA,DF,26-043,2000,30,29,2617,29.1,1,0,1,1,0,0,3,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chris_richards_crystal_palace
ENG-Premier League,25/26,Tottenham,Richarlison,BRA,"FW,MF",29-000,1997,29,17,1712,19.0,10,4,14,10,0,0,5,0,,,,,,,,0.53,0.21,0.74,0.53,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richarlison_tottenham
